,States to Learn
0,Delaware
1,Iowa
2,Kansas
3,Louisiana
4,Maryland
5,Massachusetts
6,Minnesota
7,Montana
8,Nevada
9,New Hampshire
10,Oklahoma
11,Oregon
12,Pennsylvania
13,Rhode Island
14,South Carolina
15,Tennessee
16,Utah
17,Vermont
18,Wisconsin
19,Wyoming
